test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Agglomerative clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 0.621611097321278
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Agglomerative clustering" "metric=cosine, n_clusters=5" clustering_accuracy 0.782759163127261
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_rand_index 0.618414686711312
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" adjusted_mutual_info_score 0.613944184103729
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" homogeneity_score 0.653763080668962
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" completeness_score 0.579396179986295
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" v_measure_score 0.614337245222315
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" normalized_mutual_info_score 0.614337245222315
models\model_complete\vectors_100_cosine_2_1 Clustering citiesMoviesAlbumsCompaniesUni_cluster 0.71606103507944 "Ward hierarchical clustering" "metric=cosine, n_clusters=5" clustering_accuracy 0.764983482774894
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine adjusted_rand_index 0.002343366190792
models\model_complete\vectors_100_cosine_2_1 Clustering teams_cluster 0.5209224916785544 DBSCAN metric=cosine adjusted_mutual_info_score 0.007323525329649
